fda_id,address
3824,"107 SOUTH MOORE STREET, WATERLOO, IL 62298"
3825,"242 S JEFFERSON ST, FREDERICK, MD 21701"
3826,"375 MAIN ST, WOBURN, MA 01801"
3827,"6509 RAYTOWN ROAD, RAYTOWN, MO 64133"
3828,"407 HILL ST, ELLISVILLE, MS 39437"
3829,"101 SOUTH MADISON STREET, RAYMORE, MO 64083"
3830,"3106  DELMAR BOULEVARD, ST LOUIS, MO 63103"
3831,"3030 EAST HIGHWAY 54, EL DORADO SPRINGS, MO 64744"
3832,"916 WARREN AVENUE, BROCKTON, MA 02301"
3833,"115 WEST SPRING STREET, EL DORADO SPRINGS, MO 64744"
3834,"7677 NORTH 16TH STREET, PHOENIX, AZ 85020"
3835,"117 WEST HIGHWAY 32, LICKING, MO 65542"
3836,"5350 CHIPPEWA STREET, SAINT LOUIS, MO 63109"
3837,"4695 WEST 20TH STREET, GREELEY, CO 80634-3224"
3838,"1245 WEST BASELINE ROAD, SUITE 112, MESA, AZ 85202"
3839,"21214 84TH AVENUE SOUTH, KENT, WA 98032"
3840,"10303 GRAND AVENUE, SUN CITY, AZ 85351"
3841,"42 EAST MAIN STREET, FESTUS, MO 63028"
3842,"474 SOUTH ARIZONA BOULEVARD, COOLIDGE, AZ 85128"
3843,"2600 HIGHWAY 13, HIGGINSVILLE, MO 64037"
3844,"2319 WEST ROOSEVELT ROAD, BROADVIEW, IL 60155"
3845,"1801 GOVERNMENT STREET, OCEAN SPRINGS, MS 39564"
3846,"196 PLEASANT STREET, WINCHENDON, MA 01475"
3847,"11339 WEST BELL ROAD, SURPRISE, AZ 85378"
3848,"5201 ROUTE 42, TURNERSVILLE, NJ 08012"
3849,"545 WEST CONNEXION WAY, COLUMBIA CITY, IN 46725"
3850,"3714 WEST TRUMAN BOULEVARD, JEFFERSON CITY, MO 65109"
3851,"36 SONNEMANN STREET, CARLINVILLE, IL 62626"
3852,"102 WEST MAIN, ATKINS, AR 72823"
3853,"1513 GREENBRIER DEAR ROAD, ANNISTON, AL 36207"
3854,"1978 SOUTH HIGHWAY 421, MANCHESTER, KY 40962"
3855,"6027 HIGHWAY 67, HASKELL, AR 72015"
3856,"500 GATEWAY BOULEVARD, WESTVILLE, NJ 08093"
3857,"12732 OLD HIGHWAY 63, LA PLATA, MO 63549"
3858,"4621 BILL GARDNER PARKWAY, LOCUST GROVE, GA 30248"
3859,"710 SAN JACINTO LANE, BRYAN, TX 77803"
3860,"609 EAST MAIN STREET, CUSHING, OK 74023-4023"
3861,"600 HWY 43 NORTH, PICAYUNE, MS 39466"
3862,"510 E MAIN ST, ATLANTA, MO 63530"
3863,"10120 WEST BELL ROAD, SUN CITY, AZ 85351"
3864,"6001 MANCHESTER AVENUE, ST LOUIS, MO 63110"
3865,"733 S VANDEVENTER, ST LOUIS, MO 63110"
3866,"200 NORTH HIGHWAY 287, DECATUR, TX 76234"
3867,"155 BYPASS ROAD, BRANDENBURG, KY 40108-0000"
3868,"701 EAST CANO STREET, EDINBURG, TX 78539"
3869,"1181 WEST GANNON DRIVE, FESTUS, MO 63028"
3870,"2425 WEST ROOSEVELT ROAD, BROADVIEW, IL 60155"
3871,"2500 25TH AVENUE, GULFPORT, MS 39501"
3872,"15030 NORTH 99TH AVENUE, SUN CITY, AZ 85351"
